"month","total_orders","total_revenue","avg_order_value"
"2016-09-01 00:00:00",3,252.24,84.08
"2016-10-01 00:00:00",324,59090.48,172.78
"2016-12-01 00:00:00",1,19.62,19.62
"2017-01-01 00:00:00",800,138488.04,162.93
"2017-02-01 00:00:00",1780,291908.01,154.78
"2017-03-01 00:00:00",2682,449863.60,158.57
"2017-04-01 00:00:00",2404,417788.03,162.50
"2017-05-01 00:00:00",3700,592918.82,150.33
"2017-06-01 00:00:00",3245,511276.38,148.80
"2017-07-01 00:00:00",4026,592382.92,137.22
"2017-08-01 00:00:00",4331,674396.32,148.22
"2017-09-01 00:00:00",4285,727762.45,161.15
"2017-10-01 00:00:00",4631,779677.88,160.43
"2017-11-01 00:00:00",7544,1194882.80,151.96
"2017-12-01 00:00:00",5673,878401.48,149.01
"2018-01-01 00:00:00",7269,1115004.18,147.43
"2018-02-01 00:00:00",6728,992463.34,142.76
"2018-03-01 00:00:00",7211,1159652.12,154.37
"2018-04-01 00:00:00",6939,1160785.48,161.02
"2018-05-01 00:00:00",6873,1153982.15,161.74
"2018-06-01 00:00:00",6167,1023880.50,159.51
"2018-07-01 00:00:00",6292,1066540.75,163.91
"2018-08-01 00:00:00",6512,1022425.32,152.65
"2018-09-01 00:00:00",16,4439.54,277.47
"2018-10-01 00:00:00",4,589.67,147.42
