"product_category_name","total_orders","total_revenue","avg_product_price"
"beleza_saude",8836,1258681.34,130.16
"relogios_presentes",5624,1205005.68,201.14
"cama_mesa_banho",9417,1036988.68,93.30
"esporte_lazer",7720,988048.97,114.34
"informatica_acessorios",6689,911954.32,116.51
"moveis_decoracao",6449,729762.49,87.56
"cool_stuff",3632,635290.85,167.36
"utilidades_domesticas",5884,632248.66,90.79
"automotivo",3897,592720.11,139.96
"ferramentas_jardim",3518,485256.46,111.63
"brinquedos",3886,483946.60,117.55
"bebes",2885,411764.89,134.34
"perfumaria",3162,399124.87,116.74
"telefonia",4199,323667.53,71.21
"moveis_escritorio",1273,273960.70,162.01
"papelaria",2311,230943.23,91.75
"pcs",181,222963.13,1098.34
"pet_shop",1710,214315.41,110.07
"instrumentos_musicais",628,191498.88,281.62
"eletroportateis",630,190648.58,280.78
NULL,1451,179535.28,112.00
"eletronicos",2550,160246.74,57.91
"consoles_games",1062,157465.22,138.49
"fashion_bolsas_e_acessorios",1864,152823.54,75.25
"construcao_ferramentas_construcao",748,144677.59,155.73
"malas_acessorios",1034,140429.98,128.60
"eletrodomesticos_2",234,113317.74,476.12
"casa_construcao",490,83088.12,137.56
"eletrodomesticos",764,80171.53,103.98
"agro_industria_e_comercio",182,72530.47,342.12
"moveis_sala",422,68916.56,137.01
"telefonia_fixa",217,59583.00,225.69
"casa_conforto",397,58572.04,134.96
"climatizacao",253,55024.96,185.27
"audio",350,50688.50,139.25
"portateis_casa_forno_e_cafe",75,47445.71,624.29
"livros_interesse_geral",512,46856.88,84.73
"moveis_cozinha_area_de_servico_jantar_e_jardim",248,46328.37,164.87
"construcao_ferramentas_iluminacao",244,41080.00,135.13
"construcao_ferramentas_seguranca",167,40544.52,208.99
"industria_comercio_e_negocios",235,39669.61,148.02
"alimentos",450,29393.41,57.63
"market_place",280,28378.47,91.25
"construcao_ferramentas_jardim",194,25715.89,108.05
"artes",202,24202.64,115.80
"fashion_calcados",240,23562.77,89.93
"bebidas",297,22428.70,59.18
"sinalizacao_e_seguranca",140,21509.23,108.09
"moveis_quarto",95,20028.78,183.75
"livros_tecnicos",260,19096.06,71.52
"construcao_ferramentas_ferramentas",97,15903.95,154.41
"alimentos_bebidas",227,15179.48,54.60
"fashion_roupa_masculina",112,10797.82,81.80
"fashion_underwear_e_moda_praia",121,9541.55,72.84
"artigos_de_natal",128,8800.82,57.52
"tablets_impressao_imagem",79,7528.41,90.70
"cine_foto",65,6933.46,96.30
"musica",38,6034.35,158.80
"dvds_blu_ray",59,5999.39,93.74
"livros_importados",53,4639.85,77.33
"artigos_de_festas",39,4485.18,104.31
"moveis_colchao_e_estofado",38,4368.08,114.95
"portateis_cozinha_e_preparadores_de_alimentos",14,3968.53,264.57
"fashion_roupa_feminina",39,2803.64,58.41
"fashion_esporte",27,2119.51,70.65
"la_cuisine",13,2054.99,146.79
"artes_e_artesanato",23,1814.01,75.58
"fraldas_higiene",27,1567.59,40.19
"pc_gamer",8,1545.95,171.77
"flores",29,1110.04,33.64
"casa_conforto_2",24,760.27,25.34
"cds_dvds_musicais",12,730.00,52.14
"fashion_roupa_infanto_juvenil",8,569.85,71.23
"seguros_e_servicos",2,283.29,141.65
